pop,alg,tot,min,maj,het
alfalfa,beagle unphased,0.731393340800237,0.142651948996981,0.99372955811203,0.207747251107304
alfalfa,beagle unphased (shuffle),0.663392408124216,0.0131025662248855,0.998765622461449,0.00501376984603681
alfalfa,kNNI,0.822046211553391,0.146771030044584,0.90817955777716,0.660280870826884
alfalfa,MNI,0.783813861694568,0,0.886862369415762,0.588791086023593
alfalfa,RFI_pvariables,0.795017084765202,1.10229276895944e-05,0.890525862798816,0.617537001525129
alfalfa,SVD,0.773577067055382,0.0446621459113123,0.858059697954525,0.616724394130389
alfalfa,fillin,NA,NA,NA,NA
alfalfa,fillin (shuffle),NA,NA,NA,NA
rice,beagle unphased,0.995801555989565,0.975733042898587,0.997988508147707,NA
rice,beagle unphased (shuffle),0.934781671560295,0.556354723488907,0.976928931243478,NA
rice,kNNI,0.983032159057853,0.897956013305413,0.991855765330968,NA
rice,MNI,0.902050947002054,0.00614914443171676,0.998917193680886,NA
rice,RFI_pvariables,0.978599990329319,0.846802702392666,0.992792490048749,NA
rice,SVD,0.957379211592037,0.709618473773396,0.984043002910571,NA
rice,fillin,NA,NA,NA,NA
rice,fillin (shuffle),NA,NA,NA,NA
rice_chrom,beagle unphased,0.995759866497724,0.975046417428344,0.997976214989797,NA
rice_chrom,beagle unphased (shuffle),0.960940664905625,0.747290903579461,0.984195727066256,NA
rice_chrom,kNNI,0.980984172055,0.891166745889926,0.990382493421475,NA
rice_chrom,MNI,0.901935350184643,0.0105822324467098,0.99890303870426,NA
rice_chrom,RFI_pvariables,0.988090502407107,0.915128239609473,0.995769616812596,NA
rice_chrom,SVD,0.978109799827223,0.856414005897881,0.991110455970246,NA
rice_chrom,fillin,0.869569193613477,0.636241521602889,0.901438640845676,NA
rice_chrom,fillin (shuffle),0.821946511252295,0.558616631963695,0.858135213591365,NA
