"dataset","timestamp","allowed_miss","injected_miss","algorithm","imputable_data_cnt","correct_imputation_cnt","correct_imputation_ratio","injected_het_cnt","injected_het_hits","injected_min_homo_cnt","injected_min_homo_hits","injected_maj_homo_cnt","injected_maj_homo_hits","injected_min_all_cnt","injected_min_all_hits","injected_maj_all_cnt","injected_maj_all_hits","runtime_user_self","runtime_system_self","runtime_elapsed","runtime_user_child","runtime_system_child"
"lodi_chrom_1",2016-01-15 13:19:01,"0.1","0.01","beagle unphased",516,367,0.711240310077519,165,20,2,0,349,347,169,21,863,860,0,0.003,14.673,13.712,0.677
"lodi_chrom_1",2016-01-15 13:22:20,"0.1","0.01","beagle unphased (shuffle)",507,340,0.670611439842209,166,1,2,0,339,339,170,2,844,843,0,0.00299999999999997,16.013,14.209,0.611
"lodi_chrom_1",2016-01-15 13:26:38,"0.1","0.01","beagle unphased (shuffle)",478,302,0.631799163179916,173,0,3,0,302,302,179,2,777,775,0.00100000000000011,0.002,8.207,10.762,0.68
"lodi_chrom_1",2016-01-15 13:19:01,"0.1","0.05","beagle unphased",2479,1708,0.688987494957644,834,89,9,0,1636,1619,852,97,4106,4081,0,0.002,16.229,14.45,0.625
"lodi_chrom_1",2016-01-15 13:22:20,"0.1","0.05","beagle unphased (shuffle)",2605,1681,0.645297504798464,924,7,6,0,1675,1674,936,7,4274,4273,0.00100000000000033,0.002,16.068,15.127,0.639
"lodi_chrom_1",2016-01-15 13:26:38,"0.1","0.05","beagle unphased (shuffle)",2630,1712,0.650950570342205,913,2,7,0,1710,1710,927,2,4333,4333,0.00099999999999989,0.002,8.743,11.297,0.479
"lodi_chrom_1",2016-01-15 13:19:01,"0.1","0.1","beagle unphased",5010,3448,0.688223552894212,1669,156,18,0,3323,3292,1705,156,8315,8284,0,0.002,14.454,14.273,0.679
"lodi_chrom_1",2016-01-15 13:22:19,"0.1","0.1","beagle unphased (shuffle)",5150,3387,0.657669902912621,1747,0,16,0,3387,3387,1779,12,8521,8509,0.00099999999999989,0.002,13.665,12.515,0.566
"lodi_chrom_1",2016-01-15 13:26:38,"0.1","0.1","beagle unphased (shuffle)",5032,3360,0.667726550079491,1655,10,22,0,3355,3350,1699,10,8365,8360,0.00200000000000022,0.002,8.888,10.813,0.568
"lodi_chrom_1",2016-01-15 13:19:01,"0.1","0.2","beagle unphased",10239,6923,0.676140248071101,3490,240,36,3,6713,6680,3562,319,16916,16810,0.00099999999999989,0.002,17.687,15.421,0.823
"lodi_chrom_1",2016-01-15 13:22:20,"0.1","0.2","beagle unphased (shuffle)",10102,6650,0.658285488022174,3414,10,44,2,6644,6638,3502,54,16702,16652,0,0.00299999999999999,17.266,14.915,0.714
"lodi_chrom_1",2016-01-15 13:26:38,"0.1","0.2","beagle unphased (shuffle)",10146,6566,0.647151586832249,3538,0,39,0,6569,6566,3616,58,16676,16612,0,0.003,8.162,9.977,0.492
"lodi_chrom_1",2016-01-15 13:19:01,"0.2","0.01","beagle unphased",712,500,0.702247191011236,228,21,2,0,482,479,232,28,1192,1181,0.00099999999999989,0.002,18.124,17.7,0.969
"lodi_chrom_1",2016-01-15 13:22:20,"0.2","0.01","beagle unphased (shuffle)",685,447,0.652554744525547,237,1,2,0,446,446,241,5,1129,1125,0,0.003,16.833,16.011,0.895
"lodi_chrom_1",2016-01-15 13:26:39,"0.2","0.01","beagle unphased (shuffle)",687,436,0.634643377001456,247,1,5,0,435,435,257,2,1117,1116,0.00100000000000033,0.001,12.136,14.56,1.066
"lodi_chrom_1",2016-01-15 13:19:01,"0.2","0.05","beagle unphased",3376,2369,0.701718009478673,1086,115,21,1,2269,2253,1128,144,5624,5581,0.00099999999999989,0.002,17.804,18.625,1.147
"lodi_chrom_1",2016-01-15 13:22:20,"0.2","0.05","beagle unphased (shuffle)",3469,2259,0.651196310175843,1201,15,22,0,2246,2244,1245,33,5693,5672,0.00100000000000033,0.004,18.66,17.517,1.041
"lodi_chrom_1",2016-01-15 13:26:39,"0.2","0.05","beagle unphased (shuffle)",3366,2254,0.669637551990493,1096,0,16,0,2254,2254,1128,5,5604,5599,0,0.00199999999999999,11.988,14.749,0.958
"lodi_chrom_1",2016-01-15 13:19:01,"0.2","0.1","beagle unphased",6778,4603,0.679108881676011,2288,186,38,3,4452,4414,2364,232,11192,11107,0.00100000000000033,0.00199999999999999,17.409,16.901,0.914
"lodi_chrom_1",2016-01-15 13:22:20,"0.2","0.1","beagle unphased (shuffle)",6749,4447,0.658912431471329,2265,4,36,0,4448,4443,2337,41,11161,11115,0,0.002,17.07,15.47,0.84
"lodi_chrom_1",2016-01-15 13:26:39,"0.2","0.1","beagle unphased (shuffle)",6856,4443,0.648045507584597,2364,0,44,1,4448,4442,2452,30,11260,11223,0.00099999999999989,0.002,12.781,15.747,0.885
"lodi_chrom_1",2016-01-15 13:19:01,"0.2","0.2","beagle unphased",13570,8965,0.660648489314665,4686,185,87,4,8797,8776,4860,257,22280,22186,0,0.00199999999999997,17.461,17.351,1.061
"lodi_chrom_1",2016-01-15 13:22:20,"0.2","0.2","beagle unphased (shuffle)",13828,9083,0.656855655192363,4669,14,89,0,9070,9069,4847,36,22809,22785,0.00200000000000022,0.002,17.687,17.225,0.965
"lodi_chrom_1",2016-01-15 13:26:39,"0.2","0.2","beagle unphased (shuffle)",13704,8930,0.651634559252773,4702,0,68,2,8934,8928,4838,43,22570,22519,0,0.002,12.518,15.04,0.806
"lodi_chrom_1",2016-01-15 13:19:02,"0.4","0.01","beagle unphased",923,643,0.696641386782232,303,33,5,0,615,610,313,35,1533,1526,0,0.003,21.626,20.98,0.993
"lodi_chrom_1",2016-01-15 13:22:20,"0.4","0.01","beagle unphased (shuffle)",925,621,0.671351351351351,298,1,5,0,622,620,308,1,1542,1538,0.00099999999999989,0.002,22.051,22.024,1.01
"lodi_chrom_1",2016-01-15 13:26:39,"0.4","0.01","beagle unphased (shuffle)",889,580,0.652418447694038,300,0,9,0,580,580,318,0,1460,1460,0.00099999999999989,0.002,17.616,20.888,0.87
"lodi_chrom_1",2016-01-15 13:19:02,"0.4","0.05","beagle unphased",4652,3213,0.69067067927773,1527,153,41,1,3084,3059,1609,180,7695,7644,0.00099999999999989,0.002,21.696,21.974,1.15
"lodi_chrom_1",2016-01-15 13:22:20,"0.4","0.05","beagle unphased (shuffle)",4604,3092,0.671589921807124,1495,7,23,0,3086,3085,1541,13,7667,7659,0.00099999999999989,0.004,21.807,21.53,1.045
"lodi_chrom_1",2016-01-15 13:26:39,"0.4","0.05","beagle unphased (shuffle)",4551,3101,0.68138870577895,1410,5,43,0,3098,3096,1496,9,7606,7600,0.00100000000000033,0.001,15.944,18.513,0.879
"lodi_chrom_1",2016-01-15 13:19:02,"0.4","0.1","beagle unphased",9148,6337,0.692719720157411,2942,239,68,2,6138,6096,3078,274,15218,15144,0,0.002,22.802,22.757,1.173
"lodi_chrom_1",2016-01-15 13:22:20,"0.4","0.1","beagle unphased (shuffle)",9110,6116,0.671350164654226,2910,7,87,2,6113,6107,3084,63,15136,15073,0.00100000000000033,0.002,21.58,21.256,1.044
"lodi_chrom_1",2016-01-15 13:26:39,"0.4","0.1","beagle unphased (shuffle)",9125,6071,0.665315068493151,2980,2,68,0,6077,6069,3116,43,15134,15077,0.00099999999999989,0.001,17.144,20.222,1.013
"lodi_chrom_1",2016-01-15 13:19:02,"0.4","0.2","beagle unphased",18499,12712,0.68717227958268,5933,325,141,6,12425,12381,6215,424,30783,30636,0,0.002,23.5,22.5,0.976
"lodi_chrom_1",2016-01-15 13:22:20,"0.4","0.2","beagle unphased (shuffle)",18416,12262,0.665834057341442,6006,0,139,5,12271,12257,6284,75,30548,30455,0.00099999999999989,0.002,20.951,19.665,1.057
"lodi_chrom_1",2016-01-15 13:26:39,"0.4","0.2","beagle unphased (shuffle)",18352,12235,0.666684829991282,5988,5,133,0,12231,12230,6254,34,30450,30420,0,0.002,16.49,19.304,0.936
"lodi_chrom_1",2016-01-15 13:19:02,"0.7","0.01","beagle unphased",1219,838,0.687448728465956,403,38,11,0,805,800,425,42,2013,2002,0,0.003,30.67,31.454,1.241
"lodi_chrom_1",2016-01-15 13:22:21,"0.7","0.01","beagle unphased (shuffle)",1163,796,0.684436801375752,348,0,17,0,798,796,382,4,1944,1936,0.00100000000000033,0.002,28.53,28.703,1.251
"lodi_chrom_1",2016-01-15 13:26:40,"0.7","0.01","beagle unphased (shuffle)",1212,836,0.68976897689769,360,0,16,0,836,836,392,1,2032,2031,0,0.002,27.845,30.178,1.241
"lodi_chrom_1",2016-01-15 13:19:03,"0.7","0.05","beagle unphased",6136,4315,0.703226857887875,1883,148,68,0,4185,4167,2019,188,10253,10194,0.00100000000000033,0.00800000000000001,30.312,30.475,1.367
"lodi_chrom_1",2016-01-15 13:22:21,"0.7","0.05","beagle unphased (shuffle)",6129,4149,0.676945668135095,1908,0,66,0,4155,4149,2040,13,10218,10193,0.000999999999999446,0.00199999999999997,29.695,29.276,1.295
"lodi_chrom_1",2016-01-15 13:26:40,"0.7","0.05","beagle unphased (shuffle)",6179,4180,0.676484868101635,1924,4,69,0,4186,4176,2062,21,10296,10263,0.00099999999999989,0.003,27.941,29.856,1.11
"lodi_chrom_1",2016-01-15 13:19:03,"0.7","0.1","beagle unphased",12363,8655,0.700072797864596,3787,246,124,4,8452,8405,4035,294,20691,20597,0.000999999999999446,0.002,29.019,29.246,1.192
"lodi_chrom_1",2016-01-15 13:22:21,"0.7","0.1","beagle unphased (shuffle)",12213,8366,0.685007778596577,3703,0,141,1,8369,8365,3985,38,20441,20397,0,0.002,29.763,28.786,1.163
"lodi_chrom_1",2016-01-15 13:26:40,"0.7","0.1","beagle unphased (shuffle)",12210,8308,0.68042588042588,3773,13,135,1,8302,8294,4043,59,20377,20319,0.00099999999999989,0.003,26.447,28.58,1.14
"lodi_chrom_1",2016-01-15 13:19:03,"0.7","0.2","beagle unphased",24580,17009,0.691985353946298,7551,271,267,5,16762,16733,8085,355,41075,40962,0.00100000000000033,0.003,29.279,29.678,1.3
"lodi_chrom_1",2016-01-15 13:22:21,"0.7","0.2","beagle unphased (shuffle)",24488,16659,0.680292388108461,7555,14,268,6,16665,16639,8091,136,40885,40728,0,0.003,28.226,28.286,1.171
"lodi_chrom_1",2016-01-15 13:26:40,"0.7","0.2","beagle unphased (shuffle)",24558,16646,0.677823927029888,7628,0,262,9,16668,16637,8152,182,40964,40738,0.00099999999999989,0.002,27.116,29.711,1.363
"lodi_chrom_2",2016-01-15 13:19:01,"0.1","0.01","beagle unphased",407,241,0.592137592137592,169,12,6,0,232,229,181,15,633,628,0,0.003,15.512,12.702,0.661
"lodi_chrom_2",2016-01-15 13:22:20,"0.1","0.01","beagle unphased (shuffle)",422,255,0.604265402843602,165,1,3,0,254,254,171,1,673,673,0.00099999999999989,0.002,12.098,10.914,0.551
"lodi_chrom_2",2016-01-15 13:26:39,"0.1","0.01","beagle unphased (shuffle)",367,221,0.602179836512262,145,1,2,0,220,220,149,1,585,585,0.00099999999999989,0.002,10.735,13.153,0.701
"lodi_chrom_2",2016-01-15 13:19:01,"0.1","0.05","beagle unphased",1926,1193,0.619418483904465,746,47,18,0,1162,1146,782,68,3070,3032,0,0.003,11.913,11.279,0.668
"lodi_chrom_2",2016-01-15 13:22:20,"0.1","0.05","beagle unphased (shuffle)",1947,1183,0.607601438109913,756,0,8,0,1183,1183,772,8,3122,3114,0.00099999999999989,0.002,11.852,10.864,0.628
"lodi_chrom_2",2016-01-15 13:26:39,"0.1","0.05","beagle unphased (shuffle)",1989,1238,0.622423328305681,732,3,13,0,1244,1235,758,10,3220,3198,0.00099999999999989,0.002,8.358,10.887,0.522
"lodi_chrom_2",2016-01-15 13:19:01,"0.1","0.1","beagle unphased",4006,2484,0.620069895157264,1564,90,26,0,2416,2394,1616,99,6396,6365,0.00100000000000011,0.001,13.751,11.211,0.601
"lodi_chrom_2",2016-01-15 13:22:20,"0.1","0.1","beagle unphased (shuffle)",3836,2320,0.604796663190824,1491,0,23,2,2322,2318,1537,38,6135,6093,0.00099999999999989,0.002,14.57,12.11,0.875
"lodi_chrom_2",2016-01-15 13:26:39,"0.1","0.1","beagle unphased (shuffle)",3861,2325,0.602175602175602,1509,4,27,0,2325,2321,1563,24,6159,6131,0,0.002,10.511,12.422,0.701
"lodi_chrom_2",2016-01-15 13:19:01,"0.1","0.2","beagle unphased",7774,4862,0.625418060200669,2967,122,52,0,4755,4740,3071,166,12477,12417,0.00099999999999989,0.000999999999999987,13.795,11.242,0.544
"lodi_chrom_2",2016-01-15 13:22:20,"0.1","0.2","beagle unphased (shuffle)",7983,4833,0.605411499436302,3100,0,47,1,4836,4832,3194,49,12772,12717,0,0.003,12.234,10.956,0.639
"lodi_chrom_2",2016-01-15 13:26:39,"0.1","0.2","beagle unphased (shuffle)",7774,4770,0.613583740674042,2958,0,39,1,4777,4769,3036,118,12512,12380,0.00100000000000011,0.002,9.536,11.063,0.593
"lodi_chrom_2",2016-01-15 13:19:02,"0.2","0.01","beagle unphased",465,291,0.625806451612903,180,17,3,0,282,274,186,20,744,733,0.00099999999999989,0.002,17.065,15.215,0.572
"lodi_chrom_2",2016-01-15 13:22:20,"0.2","0.01","beagle unphased (shuffle)",493,318,0.645030425963489,173,2,4,0,316,316,181,4,805,803,0.00099999999999989,0.002,15.167,13.394,0.569
"lodi_chrom_2",2016-01-15 13:26:39,"0.2","0.01","beagle unphased (shuffle)",495,304,0.614141414141414,190,2,3,0,302,302,196,3,794,793,0.00100000000000033,0.002,10.779,12.539,0.589
"lodi_chrom_2",2016-01-15 13:19:01,"0.2","0.05","beagle unphased",2676,1727,0.645366218236173,1017,102,25,0,1634,1625,1067,124,4285,4256,0.00099999999999989,0.00199999999999999,15.599,14.435,0.627
"lodi_chrom_2",2016-01-15 13:22:20,"0.2","0.05","beagle unphased (shuffle)",2682,1668,0.621923937360179,997,3,19,0,1666,1665,1035,8,4329,4322,0.00099999999999989,0.002,15.639,12.78,0.55
"lodi_chrom_2",2016-01-15 13:26:39,"0.2","0.05","beagle unphased (shuffle)",2664,1637,0.614489489489489,1004,7,28,0,1632,1630,1060,25,4268,4246,0.00099999999999989,0.002,11.507,13.072,0.63
"lodi_chrom_2",2016-01-15 13:19:01,"0.2","0.1","beagle unphased",5325,3434,0.644882629107981,1962,145,47,0,3316,3289,2056,170,8594,8537,0,0.003,15.635,14.083,0.635
"lodi_chrom_2",2016-01-15 13:22:20,"0.2","0.1","beagle unphased (shuffle)",5168,3169,0.613196594427245,1966,2,32,0,3170,3167,2030,2,8306,8303,0,0.00299999999999999,15.236,13.02,0.508
"lodi_chrom_2",2016-01-15 13:26:39,"0.2","0.1","beagle unphased (shuffle)",5282,3361,0.636312003029156,1882,0,35,1,3365,3360,1952,35,8612,8569,0.00099999999999989,0.002,10.696,12.392,0.59
"lodi_chrom_2",2016-01-15 13:19:02,"0.2","0.2","beagle unphased",10465,6711,0.641280458671763,3822,181,92,2,6551,6528,4006,250,16924,16835,0.00100000000000011,0.003,16.362,13.74,0.668
"lodi_chrom_2",2016-01-15 13:22:20,"0.2","0.2","beagle unphased (shuffle)",10536,6581,0.624620349278664,3870,0,82,1,6584,6580,4034,68,17038,16964,0.00099999999999989,0.002,15.475,13.222,0.61
"lodi_chrom_2",2016-01-15 13:26:39,"0.2","0.2","beagle unphased (shuffle)",10577,6535,0.617850051999622,3949,0,87,0,6541,6535,4123,61,17031,16958,0.00100000000000033,0.002,11.874,13.435,0.64
"lodi_chrom_2",2016-01-15 13:19:02,"0.4","0.01","beagle unphased",767,522,0.680573663624511,265,30,3,0,499,492,271,32,1263,1254,0.00100000000000033,0.002,17.65,17.11,0.869
"lodi_chrom_2",2016-01-15 13:22:21,"0.4","0.01","beagle unphased (shuffle)",769,492,0.639791937581274,274,0,3,0,492,492,280,3,1258,1255,0.00100000000000033,0.002,18.544,16.665,0.707
"lodi_chrom_2",2016-01-15 13:26:40,"0.4","0.01","beagle unphased (shuffle)",696,438,0.629310344827586,252,0,6,0,438,438,264,3,1128,1125,0.00100000000000033,0.003,17.242,18.944,0.835
"lodi_chrom_2",2016-01-15 13:19:02,"0.4","0.05","beagle unphased",3589,2393,0.666759543048203,1238,98,32,0,2319,2295,1302,119,5876,5832,0.00099999999999989,0.002,19.446,19.137,0.806
"lodi_chrom_2",2016-01-15 13:22:21,"0.4","0.05","beagle unphased (shuffle)",3758,2391,0.636242682277807,1341,1,25,1,2392,2389,1391,23,6125,6099,0,0.00299999999999999,18.932,17.923,0.803
"lodi_chrom_2",2016-01-15 13:26:40,"0.4","0.05","beagle unphased (shuffle)",3634,2356,0.648321408915795,1261,10,25,0,2348,2346,1311,29,5957,5934,0.00099999999999989,0.002,15.406,17.964,0.786
"lodi_chrom_2",2016-01-15 13:19:02,"0.4","0.1","beagle unphased",7490,4818,0.643257676902537,2720,163,84,1,4686,4654,2888,206,12092,12021,0,0.003,19.168,19.457,0.894
"lodi_chrom_2",2016-01-15 13:22:21,"0.4","0.1","beagle unphased (shuffle)",7404,4749,0.641410048622366,2578,0,73,1,4753,4748,2724,25,12084,12051,0,0.003,19.839,17.894,0.75
"lodi_chrom_2",2016-01-15 13:26:40,"0.4","0.1","beagle unphased (shuffle)",7348,4599,0.625884594447469,2674,0,73,2,4601,4597,2820,46,11876,11826,0.00099999999999989,0.00299999999999997,15.593,18.543,0.851
"lodi_chrom_2",2016-01-15 13:19:02,"0.4","0.2","beagle unphased",14788,9538,0.6449824181769,5257,185,157,2,9374,9351,5571,265,24005,23897,0.00099999999999989,0.002,19.631,19.15,0.869
"lodi_chrom_2",2016-01-15 13:22:21,"0.4","0.2","beagle unphased (shuffle)",14847,9368,0.630969219370917,5325,0,153,1,9369,9367,5631,24,24063,24037,0.00100000000000033,0.002,18.813,17.725,0.765
"lodi_chrom_2",2016-01-15 13:26:40,"0.4","0.2","beagle unphased (shuffle)",14751,9334,0.632770659616297,5262,0,145,7,9344,9327,5552,127,23950,23803,0,0.003,15.884,17.297,0.833
"lodi_chrom_2",2016-01-15 13:19:03,"0.7","0.01","beagle unphased",956,650,0.679916317991632,312,25,16,0,628,625,344,29,1568,1560,0,0.00299999999999997,26.62,26.591,1.966
"lodi_chrom_2",2016-01-15 13:22:21,"0.7","0.01","beagle unphased (shuffle)",979,639,0.65270684371808,324,0,16,0,639,639,356,3,1602,1599,0.00099999999999989,0.002,27.313,25.542,1.733
"lodi_chrom_2",2016-01-15 13:26:40,"0.7","0.01","beagle unphased (shuffle)",893,604,0.676371780515118,277,0,12,0,604,604,301,1,1485,1484,0,0.002,20.835,23.998,1.378
"lodi_chrom_2",2016-01-15 13:19:03,"0.7","0.05","beagle unphased",4768,3214,0.674077181208054,1595,103,50,2,3123,3109,1695,123,7841,7808,0,0.003,27.774,28.477,1.678
"lodi_chrom_2",2016-01-15 13:22:21,"0.7","0.05","beagle unphased (shuffle)",4838,3184,0.658123191401406,1587,0,65,1,3186,3183,1717,27,7959,7928,0.00099999999999989,0.002,28.924,26.775,2.078
"lodi_chrom_2",2016-01-15 13:26:40,"0.7","0.05","beagle unphased (shuffle)",4770,3150,0.660377358490566,1579,1,41,0,3150,3149,1661,23,7879,7856,0,0.001,20.704,23.457,1.54
"lodi_chrom_2",2016-01-15 13:19:03,"0.7","0.1","beagle unphased",9653,6582,0.681860561483477,3128,197,119,3,6406,6382,3366,219,15940,15897,0.00099999999999989,0.002,26.062,26.534,1.46
"lodi_chrom_2",2016-01-15 13:22:21,"0.7","0.1","beagle unphased (shuffle)",9591,6355,0.662600354499009,3119,0,105,0,6367,6355,3329,87,15853,15742,0,0.003,27.595,25.107,1.601
"lodi_chrom_2",2016-01-15 13:26:40,"0.7","0.1","beagle unphased (shuffle)",9491,6178,0.650932462332736,3201,0,107,0,6183,6178,3415,34,15567,15523,0,0.002,22.895,24.008,1.783
"lodi_chrom_2",2016-01-15 13:19:03,"0.7","0.2","beagle unphased",19254,12699,0.659551262075413,6518,177,196,10,12540,12512,6910,330,31598,31423,0.00099999999999989,0.002,28.715,29.098,1.602
"lodi_chrom_2",2016-01-15 13:22:21,"0.7","0.2","beagle unphased (shuffle)",19126,12598,0.658684513228067,6306,12,231,1,12589,12585,6768,111,31484,31380,0,0.003,27.253,25.525,1.927
"lodi_chrom_2",2016-01-15 13:26:40,"0.7","0.2","beagle unphased (shuffle)",19133,12558,0.656352898134114,6343,0,219,5,12571,12553,6781,199,31485,31260,0,0.002,21.576,23.733,1.629
"lodi_chrom_3",2016-01-15 13:19:02,"0.1","0.01","beagle unphased",449,302,0.67260579064588,170,27,2,0,277,275,174,29,724,720,0,0.001,12.451,13.692,0.459
"lodi_chrom_3",2016-01-15 13:22:21,"0.1","0.01","beagle unphased (shuffle)",499,322,0.645290581162325,175,0,2,0,322,322,179,1,819,818,0.00099999999999989,0.00399999999999998,18.281,13.217,0.702
"lodi_chrom_3",2016-01-15 13:26:39,"0.1","0.01","beagle unphased (shuffle)",404,267,0.660891089108911,140,5,3,1,261,261,146,9,662,660,0,0.003,9.33,10.666,0.482
"lodi_chrom_3",2016-01-15 13:19:02,"0.1","0.05","beagle unphased",2225,1502,0.675056179775281,801,117,8,0,1416,1385,817,119,3633,3601,0.00100000000000011,0.001,14.086,13.474,0.501
"lodi_chrom_3",2016-01-15 13:22:21,"0.1","0.05","beagle unphased (shuffle)",2214,1409,0.636404697380307,795,5,14,0,1405,1404,823,17,3605,3592,0.00099999999999989,0.00399999999999998,18.634,13.638,0.754
"lodi_chrom_3",2016-01-15 13:26:40,"0.1","0.05","beagle unphased (shuffle)",2273,1434,0.630884293884734,825,1,15,0,1433,1433,855,5,3691,3687,0.00099999999999989,0.002,11.669,12.395,0.573
"lodi_chrom_3",2016-01-15 13:19:02,"0.1","0.1","beagle unphased",4414,3039,0.688491164476665,1551,225,19,0,2844,2814,1589,240,7239,7194,0.00099999999999989,0.003,13.372,13.311,0.454
"lodi_chrom_3",2016-01-15 13:22:21,"0.1","0.1","beagle unphased (shuffle)",4485,2841,0.633444816053512,1616,6,29,1,2840,2834,1674,44,7296,7249,0,0.00600000000000001,12.86,10.766,0.438
"lodi_chrom_3",2016-01-15 13:26:40,"0.1","0.1","beagle unphased (shuffle)",4612,2913,0.631613183000867,1675,0,23,1,2914,2912,1721,19,7503,7482,0,0.002,11.59,12.699,0.562
"lodi_chrom_3",2016-01-15 13:19:02,"0.1","0.2","beagle unphased",8879,5777,0.650636332920374,3222,215,51,1,5606,5561,3324,240,14434,14361,0,0.002,13.971,13.086,0.5
"lodi_chrom_3",2016-01-15 13:22:21,"0.1","0.2","beagle unphased (shuffle)",8930,5683,0.636394176931691,3189,0,50,1,5691,5682,3289,51,14571,14504,0,0.003,13.875,11.886,0.443
"lodi_chrom_3",2016-01-15 13:26:40,"0.1","0.2","beagle unphased (shuffle)",9122,5807,0.636592852444639,3257,1,54,1,5811,5805,3365,46,14879,14824,0,0.002,10.095,11.215,0.498
"lodi_chrom_3",2016-01-15 13:19:02,"0.2","0.01","beagle unphased",595,433,0.727731092436975,198,46,6,0,391,387,210,49,980,975,0.00099999999999989,0.002,18.782,17.612,1.118
"lodi_chrom_3",2016-01-15 13:22:21,"0.2","0.01","beagle unphased (shuffle)",630,399,0.633333333333333,227,1,4,0,399,398,235,3,1025,1021,0.00100000000000033,0.002,19.348,15.513,1.111
"lodi_chrom_3",2016-01-15 13:26:40,"0.2","0.01","beagle unphased (shuffle)",587,389,0.662691652470187,194,0,4,0,389,389,202,1,972,971,0,0.002,12.925,16.273,1.106
"lodi_chrom_3",2016-01-15 13:19:02,"0.2","0.05","beagle unphased",3018,2122,0.70311464546057,1032,177,21,0,1965,1945,1074,199,4962,4925,0.00100000000000033,0.004,17.568,16.658,0.883
"lodi_chrom_3",2016-01-15 13:22:21,"0.2","0.05","beagle unphased (shuffle)",2971,1949,0.656008078088186,1001,9,21,0,1949,1940,1043,17,4899,4882,0.00200000000000022,0.003,19.043,14.317,0.921
"lodi_chrom_3",2016-01-15 13:26:40,"0.2","0.05","beagle unphased (shuffle)",3052,1960,0.642201834862385,1066,3,29,0,1957,1957,1124,3,4980,4980,0.00100000000000033,0.002,11.976,14.169,0.874
"lodi_chrom_3",2016-01-15 13:19:02,"0.2","0.1","beagle unphased",6130,4259,0.694779771615008,2105,322,41,2,3984,3935,2187,361,10073,9992,0,0.003,16.819,15.661,0.731
"lodi_chrom_3",2016-01-15 13:22:21,"0.2","0.1","beagle unphased (shuffle)",6009,3856,0.641704110500915,2121,0,30,0,3858,3856,2181,7,9837,9826,0,0.004,19.13,14.903,1.05
"lodi_chrom_3",2016-01-15 13:26:40,"0.2","0.1","beagle unphased (shuffle)",6152,3992,0.64889466840052,2122,4,36,0,3994,3988,2194,34,10110,10070,0,0.002,12.483,15.06,1.017
"lodi_chrom_3",2016-01-15 13:19:02,"0.2","0.2","beagle unphased",11916,8144,0.683450822423632,4003,369,85,4,7828,7771,4173,444,19659,19531,0,0.002,19.954,18.374,1.401
"lodi_chrom_3",2016-01-15 13:22:21,"0.2","0.2","beagle unphased (shuffle)",11988,7855,0.655238571905239,4085,21,65,2,7838,7832,4215,57,19761,19719,0,0.003,21.167,16.774,1.306
"lodi_chrom_3",2016-01-15 13:26:40,"0.2","0.2","beagle unphased (shuffle)",11949,7732,0.647083437944598,4129,13,94,2,7726,7717,4317,100,19581,19485,0.00100000000000033,0.002,13.409,15.527,1.065
"lodi_chrom_3",2016-01-15 13:19:03,"0.4","0.01","beagle unphased",807,569,0.705080545229244,286,62,6,0,515,507,298,65,1316,1305,0,0.00199999999999997,24.962,25.322,1.233
"lodi_chrom_3",2016-01-15 13:22:21,"0.4","0.01","beagle unphased (shuffle)",813,528,0.649446494464945,278,0,6,0,529,528,290,1,1336,1334,0,0.002,23.504,19.359,1.188
"lodi_chrom_3",2016-01-15 13:26:40,"0.4","0.01","beagle unphased (shuffle)",839,566,0.6746126340882,265,0,8,0,566,566,281,1,1397,1396,0,0.001,16.29,18.667,1.138
"lodi_chrom_3",2016-01-15 13:19:03,"0.4","0.05","beagle unphased",4083,2894,0.708792554494244,1337,193,32,2,2714,2699,1401,204,6765,6746,0,0.002,21.445,22.619,1.045
"lodi_chrom_3",2016-01-15 13:22:21,"0.4","0.05","beagle unphased (shuffle)",4320,2826,0.654166666666667,1451,3,42,0,2827,2823,1535,20,7105,7080,0,0.003,23.196,21.524,1.234
"lodi_chrom_3",2016-01-15 13:26:40,"0.4","0.05","beagle unphased (shuffle)",4211,2786,0.661600569935882,1388,0,33,0,2790,2786,1454,11,6968,6949,0.00099999999999989,0.002,16.18,19.507,1.241
"lodi_chrom_3",2016-01-15 13:19:03,"0.4","0.1","beagle unphased",8438,5893,0.698388243659635,2789,362,80,2,5569,5529,2949,382,13927,13873,0.00099999999999989,0.002,25.298,23.611,1.298
"lodi_chrom_3",2016-01-15 13:22:21,"0.4","0.1","beagle unphased (shuffle)",8438,5603,0.664019909931263,2770,8,66,0,5602,5595,2902,39,13974,13933,0,0.002,23.607,20.46,1.22
"lodi_chrom_3",2016-01-15 13:26:40,"0.4","0.1","beagle unphased (shuffle)",8441,5685,0.673498400663428,2676,7,83,0,5682,5678,2842,32,14040,14007,0.00099999999999989,0.002,17.31,20.571,1.177
"lodi_chrom_3",2016-01-15 13:19:03,"0.4","0.2","beagle unphased",16835,11650,0.692010692010692,5474,480,143,0,11218,11170,5760,591,27910,27752,0.00099999999999989,0.002,24.068,24.03,1.114
"lodi_chrom_3",2016-01-15 13:22:21,"0.4","0.2","beagle unphased (shuffle)",16795,11224,0.668294135159274,5427,0,135,3,11233,11221,5697,65,27893,27810,0,0.003,23.851,20.14,1.179
